clab19,leave,outright,mortgage,one,married,cnone,cone,ctwo,qnone,qfour,healthvg,healthg,depnone,depone,region
-67.86172183,35.62267156,13.17332663,15.51688029,38.16704365,19.65736785,54.2682416,36.45807154,7.579375052,26.29461938,24.9074351,47.67114205,33.36016986,24.68794504,38.12306275,West Midlands
3.805280988,61.7882451,25.0931562,31.80271715,32.4160437,27.46545699,34.26065221,42.45145463,19.19827806,30.0031504,19.60430975,44.11271716,33.87726529,34.64022033,32.43918809,West Midlands
-36.34185114,51.21731706,30.10982628,31.75986061,28.08490417,30.02534453,34.42631607,41.93199219,18.27446011,28.99224806,19.18940365,43.63059109,35.65692408,31.07344633,34.42895612,West Midlands
-25.09551822,46.90743133,26.0231003,30.53130699,31.36778116,26.69908815,33.06261398,42.443769,19.53069909,22.73809943,26.86003262,48.04116579,32.83749892,40.08267477,31.53069909,West Midlands
-24.97539716,60.09480763,25.91261129,33.34378845,31.43291432,29.61613627,34.86138924,43.22387628,17.79622168,33.43682622,16.00197129,42.79919054,34.8423242,30.23379255,33.30518493,West Midlands
17.77033813,60.88597515,33.4835373,31.39433663,32.37748989,33.65763736,26.84469251,42.33447693,23.92595627,29.98807245,19.99112369,41.4204239,34.2655176,38.28153003,31.42762046,North East
-40.91559371,53.72925725,31.61654884,29.17454944,30.5735338,34.13820572,33.19974111,44.30449069,18.13701085,30.83633394,18.13232364,44.51541316,33.40637413,32.24634073,32.91845066,North West
-37.29349008,50.03920379,16.14065142,20.32241769,37.38551756,23.6102875,48.15180866,39.86734313,10.17768114,31.83553212,19.78910704,46.08501725,31.00474926,27.53288968,33.36627792,North West
22.15235543,66.91034244,34.53275201,33.11446131,35.93791039,27.08935231,31.4256448,44.75232442,19.0812628,29.66715324,17.60200026,40.00791452,33.85617153,33.73430688,32.74938278,North West
11.26648754,67.81412457,28.8366235,31.27618213,38.20879993,23.63442214,38.14582592,41.78462886,15.98171016,32.03610802,14.59340923,39.9269067,33.83825954,30.80524601,32.13591436,North West
-30.15652404,62.02804437,32.93990005,29.14584429,31.58863756,31.55904787,28.96830615,43.77630195,20.85086796,36.0461262,15.1584934,41.92425588,30.63139198,29.75736454,30.38532351,Wales
-12.10787855,56.12462434,32.83120099,35.98328518,29.53466777,34.87412299,28.15982253,43.3708213,23.03962031,25.40502755,22.96526769,42.4779964,34.85914296,41.87474206,31.73493603,North East
1.742578135,60.49485326,28.36417099,36.78326722,29.95644817,35.96771062,25.34605676,45.19404144,23.97569974,25.6505521,18.67318581,43.19249398,34.0326624,41.18838248,31.59310938,North East
